"???","????","??","???","?(%)"
"0","??","24526","19802","80.74"
"1","???","1515","575","37.95"
"2","???","362","100","27.62"
"3","???","433","87","20.09"
"4","???","456","297","65.13"
"5","???","401","95","23.69"
"6","???","398","186","46.73"
"7","???","548","96","17.52"
"8","???","522","235","45.02"
"9","???","359","234","65.18"
"10","???","340","331","97.35"
"11","???","645","630","97.67"
"12","???","723","711","98.34"
"13","???","1512","1470","97.22"
"14","????","767","752","98.04"
"15","???","682","101","14.81"
"16","???","292","278","95.21"
"17","???","328","314","95.73"
"18","???","243","234","96.30"
"19","???","268","255","95.15"
"20","???","660","97","14.70"
"21","???","457","443","96.94"
"22","???","603","573","95.02"
"23","???","933","902","96.68"
"24","???","467","449","96.15"
"25","???","261","257","98.47"
"26","???","476","471","98.95"
"27","???","1122","1108","98.75"
"28","???","965","946","98.03"
"29","???","323","315","97.52"
"30","????","317","313","98.74"
"31","???","247","238","96.36"
"32","???","379","369","97.36"
"33","???","534","514","96.25"
"34","???","704","689","97.87"
"35","???","420","409","97.38"
"36","???","239","226","94.56"
"37","???","227","223","98.24"
"38","???","400","392","98.00"
"39","???","323","319","98.76"
"40","???","814","797","97.91"
"41","???","207","199","96.14"
"42","???","448","436","97.32"
"43","???","569","548","96.31"
"44","???","402","389","96.77"
"45","???","310","298","96.13"
"46","????","721","706","97.92"
"47","???","204","195","95.59"
