"???","????","??","???","?(%)"
"0","??","26503","9234","34.84"
"1","???","1643","650","39.56"
"2","???","412","132","32.04"
"3","???","367","73","19.89"
"4","???","359","247","68.80"
"5","???","352","131","37.22"
"6","???","393","258","65.65"
"7","???","623","150","24.08"
"8","???","951","199","20.93"
"9","???","560","171","30.54"
"10","???","570","171","30.00"
"11","???","962","388","40.33"
"12","???","987","341","34.55"
"13","???","974","676","69.40"
"14","????","830","829","99.88"
"15","???","830","125","15.06"
"16","???","357","71","19.89"
"17","???","309","80","25.89"
"18","???","249","49","19.68"
"19","???","324","199","61.42"
"20","???","786","164","20.87"
"21","???","639","108","16.90"
"22","???","939","597","63.58"
"23","???","1334","556","41.68"
"24","???","505","135","26.73"
"25","???","294","134","45.58"
"26","???","384","229","59.64"
"27","???","867","424","48.90"
"28","???","931","246","26.42"
"29","???","255","92","36.08"
"30","????","276","34","12.32"
"31","???","201","52","25.87"
"32","???","295","31","10.51"
"33","???","522","73","13.98"
"34","???","648","112","17.28"
"35","???","406","163","40.15"
"36","???","308","124","40.26"
"37","???","307","179","58.31"
"38","???","494","62","12.55"
"39","???","299","74","24.75"
"40","???","792","116","14.65"
"41","???","274","42","15.33"
"42","???","401","42","10.47"
"43","???","559","43","7.69"
"44","???","420","40","9.52"
"45","???","371","66","17.79"
"46","????","721","180","24.97"
"47","???","223","176","78.92"
